Date;Closing_rate;Change;Turnover;Transactions
27.05.2002;19,6;-0,012674441;1101985;852
28.05.2002;19,3;-0,01542447;427615;541
29.05.2002;19,7;0,02051354;530704;411
31.05.2002;19,65;-0,002541297;534427;376
03.06.2002;19,95;0,015151805;585123;588
04.06.2002;19,85;-0,005025136;606931;615
05.06.2002;20,3;0,022416879;802757;706
06.06.2002;20,6;0,01467019;1155518;1013
07.06.2002;20,4;-0,009756175;461500;549
10.06.2002;20,5;0,004889985;234950;431
11.06.2002;20,5;0;473706;325
12.06.2002;20,1;-0,019705071;583088;398
13.06.2002;20,3;0,009901071;1594468;665
14.06.2002;19,6;-0,03509132;1437459;707
17.06.2002;19,35;-0,012837147;541548;588
18.06.2002;19,2;-0,00778214;937824;753
19.06.2002;18,95;-0,013106348;472589;487
20.06.2002;19;0,002635048;463101;386
21.06.2002;19,4;0,020834087;643074;547
24.06.2002;18,9;-0,026111144;351739;410
25.06.2002;18,35;-0,029532348;840898;732
26.06.2002;17,85;-0,027626066;1153630;740
27.06.2002;18,25;0,022161572;1008864;754
28.06.2002;17,9;-0,019364367;951482;822
01.07.2002;17,9;0;673344;721
02.07.2002;17,75;-0,008415197;974038;746
03.07.2002;18;0,013986242;1348097;1135
04.07.2002;17,6;-0,022472856;658605;641
05.07.2002;17,65;0,002836881;583712;635
08.07.2002;17,55;-0,005681833;291067;350
09.07.2002;17,65;0,005681833;274704;354
10.07.2002;17,45;-0,011396135;819854;539
11.07.2002;17,1;-0,020261185;535174;492
12.07.2002;17,05;-0,00292826;470818;487
15.07.2002;17;-0,00293686;429413;453
16.07.2002;17;0;349343;445
17.07.2002;17,6;0,034685558;461939;572
18.07.2002;17,05;-0,031748698;421287;553
19.07.2002;16,75;-0,017751945;492072;516
22.07.2002;16,4;-0,021116923;701082;730
23.07.2002;16,8;0,024097552;720235;521
24.07.2002;16,1;-0,042559614;962779;746
25.07.2002;16,3;0,012345836;923587;752
26.07.2002;16,8;0,030213779;848322;581
29.07.2002;16,85;0,00297177;382215;450
30.07.2002;16,65;-0,01194044;444721;484
31.07.2002;16,55;-0,006024115;687722;635
01.08.2002;16,75;0,012012156;504111;427
